Sample Name,Sample Type,Component Name,IS Name,Actual Conc (ng/mL),Area,IS Area,Area Ratio,Calculated Conc (ng/mL),weight (mg),content (ng/mg)
std-1,Standard,ergo,ergo-d9,1,6.75E+04,7.51E+05,8.99E-02,1.04,,
std-2,Standard,ergo,ergo-d9,2.5,1.49E+05,6.71E+05,2.22E-01,2.80,,
std-3,Standard,ergo,ergo-d9,5,3.03E+05,6.33E+05,4.79E-01,6.25,,
std-4,Standard,ergo,ergo-d9,10,6.94E+05,6.05E+05,1.15E+00,15.22,,
std-5,Standard,ergo,ergo-d9,25,1.16E+06,5.46E+05,2.12E+00,28.29,,
std-6,Standard,ergo,ergo-d9,50,2.63E+06,5.46E+05,4.81E+00,64.33,,
std-7,Standard,ergo,ergo-d9,100,5.03E+06,5.42E+05,9.27E+00,124.10,,
std-8,Standard,ergo,ergo-d9,250,6.94E+06,3.07E+05,2.26E+01,303.00,,
std-9,Standard,ergo,ergo-d9,500,1.15E+07,2.97E+05,3.87E+01,518.60,,
std-10,Standard,ergo,ergo-d9,1000,1.24E+07,1.76E+05,7.02E+01,940.60,,
G96,Unknown,ergo,ergo-d9,N/A,9.59E+05,1.88E+05,5.10E+00,68.22,25.60,5.33
G97,Unknown,ergo,ergo-d9,N/A,3.41E+05,1.04E+05,3.28E+00,43.79,26.60,3.29
G98,Unknown,ergo,ergo-d9,N/A,3.49E+05,1.30E+05,2.67E+00,35.66,27.90,2.56
G99,Unknown,ergo,ergo-d9,N/A,2.74E+05,1.01E+05,2.71E+00,36.16,26.90,2.69
G100,Unknown,ergo,ergo-d9,N/A,3.14E+05,8.95E+04,3.51E+00,46.89,25.70,3.65
G101,Unknown,ergo,ergo-d9,N/A,9.20E+05,1.37E+05,6.71E+00,89.82,25.70,6.99
G102,Unknown,ergo,ergo-d9,N/A,5.67E+05,1.61E+05,3.53E+00,47.11,28.30,3.33
G103,Unknown,ergo,ergo-d9,N/A,2.48E+05,1.33E+05,1.87E+00,24.90,26.00,1.92
G104,Unknown,ergo,ergo-d9,N/A,2.88E+05,1.59E+05,1.81E+00,24.10,25.60,1.88
G105,Unknown,ergo,ergo-d9,N/A,2.07E+05,1.18E+05,1.76E+00,23.39,25.80,1.81
G106,Unknown,ergo,ergo-d9,N/A,5.98E+05,1.37E+05,4.37E+00,58.46,27.70,4.22
G107,Unknown,ergo,ergo-d9,N/A,4.33E+05,6.03E+04,7.18E+00,96.10,29.60,6.49
G-108,Unknown,ergo,ergo-d9,N/A,1.38E+05,5.83E+04,2.37E+00,31.57,30.00,2.10
G-109,Unknown,ergo,ergo-d9,N/A,1.72E+05,7.04E+04,2.45E+00,32.66,28.50,2.29
G-110,Unknown,ergo,ergo-d9,N/A,1.25E+05,5.87E+04,2.13E+00,28.44,28.60,1.99
G-111,Unknown,ergo,ergo-d9,N/A,1.82E+05,6.65E+04,2.74E+00,36.50,27.60,2.64
G-112,Unknown,ergo,ergo-d9,N/A,1.38E+05,7.41E+04,1.86E+00,24.75,28.30,1.75
G-113,Unknown,ergo,ergo-d9,N/A,1.00E+05,6.98E+04,1.44E+00,19.12,27.10,1.41
G-114,Unknown,ergo,ergo-d9,N/A,1.48E+05,4.97E+04,2.97E+00,39.65,28.50,2.78
G-115,Unknown,ergo,ergo-d9,N/A,1.87E+05,5.60E+04,3.34E+00,44.58,29.10,3.06
G-116,Unknown,ergo,ergo-d9,N/A,2.49E+05,7.49E+04,3.32E+00,44.38,28.90,3.07
G-117,Unknown,ergo,ergo-d9,N/A,1.76E+05,7.42E+04,2.37E+00,31.56,26.80,2.36
G-118,Unknown,ergo,ergo-d9,N/A,2.33E+05,9.90E+04,2.35E+00,31.30,26.60,2.35
G-119,Unknown,ergo,ergo-d9,N/A,1.19E+05,6.74E+04,1.77E+00,23.50,29.40,1.60
G-120,Unknown,ergo,ergo-d9,N/A,1.63E+05,9.40E+04,1.74E+00,23.10,26.4,1.75
G-121,Unknown,ergo,ergo-d9,N/A,1.68E+05,5.27E+04,3.18E+00,42.49,27.0,3.15
G-122,Unknown,ergo,ergo-d9,N/A,1.39E+05,4.97E+04,2.80E+00,37.39,27.2,2.75
G-123,Unknown,ergo,ergo-d9,N/A,1.30E+05,4.76E+04,2.73E+00,36.44,28.5,2.56
G-124,Unknown,ergo,ergo-d9,N/A,1.50E+05,4.34E+04,3.46E+00,46.15,28.4,3.25
G-125,Unknown,ergo,ergo-d9,N/A,1.49E+05,4.33E+04,3.44E+00,45.91,28.6,3.21
G-126,Unknown,ergo,ergo-d9,N/A,1.39E+05,4.64E+04,2.99E+00,39.92,27.9,2.86
G-127,Unknown,ergo,ergo-d9,N/A,1.35E+05,4.23E+04,3.19E+00,42.56,27.2,3.13
G-128,Unknown,ergo,ergo-d9,N/A,1.33E+05,3.96E+04,3.35E+00,44.80,28.4,3.15
G-129,Unknown,ergo,ergo-d9,N/A,1.16E+05,3.60E+04,3.24E+00,43.24,27.1,3.19
G-130,Unknown,ergo,ergo-d9,N/A,1.28E+05,3.21E+04,3.97E+00,53.05,28.2,3.76
G-131,Unknown,ergo,ergo-d9,N/A,1.37E+05,3.51E+04,3.90E+00,52.15,27.4,3.81
G-132,Unknown,ergo,ergo-d9,N/A,1.19E+05,1.40E+05,8.48E-01,11.20,27.9,0.80
G-133,Unknown,ergo,ergo-d9,N/A,1.22E+05,6.79E+04,1.80E+00,23.94,28.6,1.67
G-134,Unknown,ergo,ergo-d9,N/A,1.62E+05,8.32E+04,1.95E+00,25.92,26.3,1.97
G-135,Unknown,ergo,ergo-d9,N/A,1.82E+05,8.45E+04,2.15E+00,28.71,27.4,2.10
G-136,Unknown,ergo,ergo-d9,N/A,1.35E+05,6.94E+04,1.95E+00,26.00,26.6,1.95
G-137,Unknown,ergo,ergo-d9,N/A,1.34E+05,6.11E+04,2.20E+00,29.31,25.9,2.26
G-138,Unknown,ergo,ergo-d9,N/A,1.20E+05,5.87E+04,2.05E+00,27.26,27.1,2.01
G-140,Unknown,ergo,ergo-d9,N/A,1.51E+05,5.99E+04,2.53E+00,33.73,27.5,2.45
G-141,Unknown,ergo,ergo-d9,N/A,1.33E+05,6.23E+04,2.14E+00,28.49,27.2,2.09
G-142,Unknown,ergo,ergo-d9,N/A,1.24E+05,6.48E+04,1.91E+00,25.43,28.0,1.82
G-143,Unknown,ergo,ergo-d9,N/A,1.24E+05,4.25E+04,2.91E+00,38.90,28.1,2.77
R-1,Unknown,ergo,ergo-d9,N/A,8.24E+04,3.88E+04,2.12E+00,28.29,26.2,2.16
R-2,Unknown,ergo,ergo-d9,N/A,9.85E+04,4.78E+04,2.06E+00,27.47,27.3,2.01
R-3,Unknown,ergo,ergo-d9,N/A,7.77E+04,4.38E+04,1.77E+00,23.61,28.9,1.63
R-4,Unknown,ergo,ergo-d9,N/A,7.58E+04,5.94E+04,1.28E+00,16.94,28.1,1.21
R-5,Unknown,ergo,ergo-d9,N/A,7.78E+04,4.64E+04,1.68E+00,22.33,25.1,1.78
R-6,Unknown,ergo,ergo-d9,N/A,1.07E+05,5.44E+04,1.97E+00,26.29,25.8,2.04
R-7,Unknown,ergo,ergo-d9,N/A,9.26E+04,5.31E+04,1.74E+00,23.21,27.3,1.70
R-8,Unknown,ergo,ergo-d9,N/A,9.04E+04,5.70E+04,1.59E+00,21.11,25.3,1.67
R-9,Unknown,ergo,ergo-d9,N/A,7.49E+04,5.64E+04,1.33E+00,17.66,25.0,1.41
R-10,Unknown,ergo,ergo-d9,N/A,7.89E+04,5.63E+04,1.40E+00,18.62,25.1,1.48
R-11,Unknown,ergo,ergo-d9,N/A,6.25E+04,5.44E+04,1.15E+00,15.24,27.1,1.12
R-12,Unknown,ergo,ergo-d9,N/A,7.09E+04,6.10E+04,1.16E+00,15.41,27.1,1.14
R-13,Unknown,ergo,ergo-d9,N/A,3.00E+05,1.79E+05,1.68E+00,22.31,25.9,1.72
R-14,Unknown,ergo,ergo-d9,N/A,4.28E+05,1.64E+05,2.62E+00,34.92,25.6,2.73
R-15,Unknown,ergo,ergo-d9,N/A,2.28E+05,1.20E+05,1.90E+00,25.29,26.0,1.95
R-16,Unknown,ergo,ergo-d9,N/A,3.25E+05,1.28E+05,2.53E+00,33.78,27.2,2.48
R-17,Unknown,ergo,ergo-d9,N/A,3.45E+05,1.51E+05,2.29E+00,30.55,25.2,2.42
R-18,Unknown,ergo,ergo-d9,N/A,2.73E+05,1.46E+05,1.87E+00,24.88,26.3,1.89
R-19,Unknown,ergo,ergo-d9,N/A,2.89E+05,1.27E+05,2.28E+00,30.38,28.7,2.12
R-20,Unknown,ergo,ergo-d9,N/A,2.67E+05,1.50E+05,1.78E+00,23.75,25.4,1.87
R-21,Unknown,ergo,ergo-d9,N/A,3.66E+05,1.30E+05,2.83E+00,37.74,27.9,2.71
R-22,Unknown,ergo,ergo-d9,N/A,3.57E+05,1.25E+05,2.87E+00,38.27,28.8,2.66
R-23,Unknown,ergo,ergo-d9,N/A,2.45E+05,1.23E+05,2.00E+00,26.67,25.4,2.10
R-24,Unknown,ergo,ergo-d9,N/A,2.43E+05,1.42E+05,1.72E+00,22.82,26.0,1.76
R-25,Unknown,ergo,ergo-d9,N/A,6.27E+05,8.54E+04,7.35E+00,98.35,26.8,7.34
R-26,Unknown,ergo,ergo-d9,N/A,1.02E+06,1.30E+05,7.86E+00,105.20,29.6,7.11
R-27,Unknown,ergo,ergo-d9,N/A,5.49E+05,9.81E+04,5.60E+00,74.87,26.1,5.74
R-28,Unknown,ergo,ergo-d9,N/A,5.42E+05,1.14E+05,4.77E+00,63.73,27.1,4.70
R-29,Unknown,ergo,ergo-d9,N/A,2.43E+05,7.30E+04,3.33E+00,44.46,27.7,3.21
R-30,Unknown,ergo,ergo-d9,N/A,1.85E+05,8.20E+04,2.25E+00,30.00,27.6,2.17
R-31,Unknown,ergo,ergo-d9,N/A,5.11E+05,1.00E+05,5.10E+00,68.16,28.5,4.78
R-32,Unknown,ergo,ergo-d9,N/A,7.38E+05,1.38E+05,5.37E+00,71.80,27.8,5.17
R-33,Unknown,ergo,ergo-d9,N/A,9.85E+05,1.72E+05,5.73E+00,76.61,26.5,5.78
R-34,Unknown,ergo,ergo-d9,N/A,6.13E+05,1.36E+05,4.53E+00,60.50,26.2,4.62
R-35,Unknown,ergo,ergo-d9,N/A,8.36E+05,2.11E+05,3.97E+00,53.06,27.8,3.82
R-36,Unknown,ergo,ergo-d9,N/A,4.68E+05,1.56E+05,3.00E+00,40.10,27.4,2.93
R-37,Unknown,ergo,ergo-d9,N/A,4.80E+04,3.31E+04,1.45E+00,19.27,27.0,1.43
R-38,Unknown,ergo,ergo-d9,N/A,4.48E+04,3.95E+04,1.13E+00,15.03,29.1,1.03
R-39,Unknown,ergo,ergo-d9,N/A,6.52E+04,5.54E+04,1.18E+00,15.60,28.3,1.10
R-40,Unknown,ergo,ergo-d9,N/A,5.08E+04,4.94E+04,1.03E+00,13.61,28.8,0.95
R-41,Unknown,ergo,ergo-d9,N/A,6.41E+04,6.83E+04,9.39E-01,12.41,28.4,0.87
R-42,Unknown,ergo,ergo-d9,N/A,4.29E+04,6.07E+04,7.07E-01,9.31,28.5,0.65
R-43,Unknown,ergo,ergo-d9,N/A,5.14E+04,5.93E+04,8.66E-01,11.43,29.0,0.79
R-44,Unknown,ergo,ergo-d9,N/A,6.02E+04,5.46E+04,1.10E+00,14.60,25.9,1.13
R-45,Unknown,ergo,ergo-d9,N/A,8.84E+04,5.01E+04,1.76E+00,23.48,28.6,1.64
R-46,Unknown,ergo,ergo-d9,N/A,1.04E+05,5.99E+04,1.74E+00,23.09,27.5,1.68
R-47,Unknown,ergo,ergo-d9,N/A,1.11E+05,6.08E+04,1.83E+00,24.30,27.2,1.79
R-48,Unknown,ergo,ergo-d9,N/A,8.72E+04,7.37E+04,1.18E+00,15.69,27.6,1.14
R-49,Unknown,ergo,ergo-d9,N/A,5.63E+05,8.06E+04,6.98E+00,93.45,27.4,6.82
R-50,Unknown,ergo,ergo-d9,N/A,3.06E+05,8.36E+04,3.66E+00,48.86,26.1,3.74
R-51,Unknown,ergo,ergo-d9,N/A,6.14E+05,1.07E+05,5.72E+00,76.52,27.7,5.52
R-52,Unknown,ergo,ergo-d9,N/A,2.61E+05,1.09E+05,2.40E+00,32.02,25.2,2.54
R-53,Unknown,ergo,ergo-d9,N/A,5.98E+05,1.08E+05,5.52E+00,73.86,26.7,5.53
R-54,Unknown,ergo,ergo-d9,N/A,3.10E+05,1.03E+05,3.01E+00,40.24,27.3,2.95
R-55,Unknown,ergo,ergo-d9,N/A,3.08E+05,1.07E+05,2.87E+00,38.24,26.6,2.88
R-56,Unknown,ergo,ergo-d9,N/A,5.31E+05,1.03E+05,5.14E+00,68.72,29.8,4.61
R-57,Unknown,ergo,ergo-d9,N/A,3.60E+05,9.38E+04,3.84E+00,51.27,27.3,3.76
R-58,Unknown,ergo,ergo-d9,N/A,2.50E+05,8.95E+04,2.79E+00,37.25,25.8,2.89
R-59,Unknown,ergo,ergo-d9,N/A,4.07E+05,9.80E+04,4.15E+00,55.51,25.7,4.32
R-60,Unknown,ergo,ergo-d9,N/A,3.27E+05,9.82E+04,3.33E+00,44.44,24.5,3.63
R-61,Unknown,ergo,ergo-d9,N/A,1.48E+06,1.48E+05,9.99E+00,133.80,26.6,10.06
R-62,Unknown,ergo,ergo-d9,N/A,8.07E+05,9.12E+04,8.85E+00,118.40,28.4,8.34
R-63,Unknown,ergo,ergo-d9,N/A,1.15E+06,1.15E+05,9.95E+00,133.20,28.7,9.28
R-64,Unknown,ergo,ergo-d9,N/A,1.13E+06,1.64E+05,6.91E+00,92.51,25.2,7.34
R-65,Unknown,ergo,ergo-d9,N/A,6.96E+05,9.75E+04,7.13E+00,95.47,28.4,6.72
R-66,Unknown,ergo,ergo-d9,N/A,8.89E+05,1.21E+05,7.34E+00,98.25,27.1,7.25
R-67,Unknown,ergo,ergo-d9,N/A,6.84E+05,9.28E+04,7.37E+00,98.67,29.2,6.76
R-68,Unknown,ergo,ergo-d9,N/A,3.82E+05,1.03E+05,3.69E+00,49.35,27.2,3.63
R-69,Unknown,ergo,ergo-d9,N/A,3.89E+05,8.42E+04,4.62E+00,61.72,26.6,4.64
R-70,Unknown,ergo,ergo-d9,N/A,4.56E+05,1.10E+05,4.15E+00,55.41,25.6,4.33
R-71,Unknown,ergo,ergo-d9,N/A,4.68E+05,1.13E+05,4.14E+00,55.30,29.2,3.79
R-72,Unknown,ergo,ergo-d9,N/A,6.38E+05,1.15E+05,5.56E+00,74.31,29.0,5.12
R-73,Unknown,ergo,ergo-d9,N/A,1.93E+05,1.15E+05,1.68E+00,22.34,29.8,1.50
R-74,Unknown,ergo,ergo-d9,N/A,1.27E+05,6.58E+04,1.93E+00,25.69,24.4,2.11
R-75,Unknown,ergo,ergo-d9,N/A,1.43E+05,7.65E+04,1.87E+00,24.96,28.3,1.76
R-76,Unknown,ergo,ergo-d9,N/A,1.54E+05,9.24E+04,1.67E+00,22.16,28.8,1.54
R-77,Unknown,ergo,ergo-d9,N/A,1.42E+05,8.17E+04,1.74E+00,23.12,25.3,1.83
R-78,Unknown,ergo,ergo-d9,N/A,1.55E+05,9.21E+04,1.69E+00,22.44,27.8,1.61
R-79,Unknown,ergo,ergo-d9,N/A,1.73E+05,9.29E+04,1.86E+00,24.78,26.5,1.87
R-80,Unknown,ergo,ergo-d9,N/A,2.02E+05,9.81E+04,2.06E+00,27.51,28.0,1.97
R-81,Unknown,ergo,ergo-d9,N/A,1.76E+05,9.63E+04,1.82E+00,24.28,28.3,1.72
R-82,Unknown,ergo,ergo-d9,N/A,2.31E+05,1.13E+05,2.05E+00,27.34,28.5,1.92
R-83,Unknown,ergo,ergo-d9,N/A,1.58E+05,1.22E+05,1.29E+00,17.14,27.4,1.25
R-84,Unknown,ergo,ergo-d9,N/A,1.37E+05,5.10E+04,2.68E+00,35.70,27.4,2.61
R-85,Unknown,ergo,ergo-d9,N/A,2.27E+05,7.92E+04,2.87E+00,38.29,29.5,2.60
R-86,Unknown,ergo,ergo-d9,N/A,1.50E+05,6.84E+04,2.19E+00,29.14,29.2,2.00
R-87,Unknown,ergo,ergo-d9,N/A,1.49E+05,7.34E+04,2.03E+00,27.07,27.2,1.99
R-88,Unknown,ergo,ergo-d9,N/A,1.67E+05,6.40E+04,2.60E+00,34.74,30.0,2.32
R-89,Unknown,ergo,ergo-d9,N/A,2.78E+05,7.84E+04,3.55E+00,47.46,24.6,3.86
R-90,Unknown,ergo,ergo-d9,N/A,1.98E+05,8.06E+04,2.45E+00,32.73,27.8,2.35
R-91,Unknown,ergo,ergo-d9,N/A,4.52E+05,9.67E+04,4.67E+00,62.44,28.2,4.43
R-92,Unknown,ergo,ergo-d9,N/A,1.99E+05,6.95E+04,2.86E+00,38.22,28.6,2.67
R-93,Unknown,ergo,ergo-d9,N/A,1.61E+05,7.98E+04,2.01E+00,26.80,28.8,1.86
R-94,Unknown,ergo,ergo-d9,N/A,6.47E+05,8.52E+04,7.59E+00,101.60,29.1,6.98
R-95,Unknown,ergo,ergo-d9,N/A,2.70E+05,8.01E+04,3.37E+00,45.03,26.8,3.36
R-96,Unknown,ergo,ergo-d9,N/A,1.90E+05,7.51E+04,2.53E+00,33.68,26.5,2.54
R-97,Unknown,ergo,ergo-d9,N/A,3.20E+05,1.14E+05,2.81E+00,37.56,24.3,3.09
R-98,Unknown,ergo,ergo-d9,N/A,2.74E+05,1.24E+05,2.21E+00,29.41,25.8,2.28
R-99,Unknown,ergo,ergo-d9,N/A,1.90E+05,1.04E+05,1.83E+00,24.39,24.0,2.03
R-100,Unknown,ergo,ergo-d9,N/A,1.53E+05,9.41E+04,1.62E+00,21.57,27.9,1.55
R-101,Unknown,ergo,ergo-d9,N/A,3.64E+05,9.71E+04,3.74E+00,50.02,25.0,4.00
R-102,Unknown,ergo,ergo-d9,N/A,2.03E+05,1.11E+05,1.83E+00,24.40,23.8,2.05
R-103,Unknown,ergo,ergo-d9,N/A,2.34E+05,9.69E+04,2.42E+00,32.25,23.8,2.71
R-104,Unknown,ergo,ergo-d9,N/A,2.35E+05,1.06E+05,2.23E+00,29.68,26.2,2.27
R-105,Unknown,ergo,ergo-d9,N/A,4.43E+05,1.23E+05,3.59E+00,47.95,18.9,5.07
R-106,Unknown,ergo,ergo-d9,N/A,2.61E+05,1.05E+05,2.50E+00,33.37,26.7,2.50
R-107,Unknown,ergo,ergo-d9,N/A,3.28E+05,1.17E+05,2.80E+00,37.43,24.7,3.03
R-108,Unknown,ergo,ergo-d9,N/A,1.44E+05,8.25E+04,1.75E+00,23.25,24.7,1.88
R-109,Unknown,ergo,ergo-d9,N/A,1.64E+05,8.96E+04,1.83E+00,24.37,24.9,1.96
R-110,Unknown,ergo,ergo-d9,N/A,1.49E+05,9.57E+04,1.56E+00,20.73,26.9,1.54
R-111,Unknown,ergo,ergo-d9,N/A,1.37E+05,9.05E+04,1.51E+00,20.05,25.0,1.60
R-112,Unknown,ergo,ergo-d9,N/A,1.47E+05,9.32E+04,1.58E+00,20.94,27.6,1.52
R-113,Unknown,ergo,ergo-d9,N/A,1.54E+05,9.28E+04,1.66E+00,22.01,28.3,1.56
R-114,Unknown,ergo,ergo-d9,N/A,1.46E+05,1.12E+05,1.31E+00,17.40,25.0,1.39
R-115,Unknown,ergo,ergo-d9,N/A,1.58E+05,1.12E+05,1.42E+00,18.80,27.4,1.37
R-116,Unknown,ergo,ergo-d9,N/A,1.92E+05,1.30E+05,1.48E+00,19.70,25.1,1.57
R-117,Unknown,ergo,ergo-d9,N/A,1.42E+05,1.06E+05,1.34E+00,17.80,23.7,1.50
R-118,Unknown,ergo,ergo-d9,N/A,1.46E+05,9.49E+04,1.54E+00,20.46,27.5,1.49
R-119,Unknown,ergo,ergo-d9,N/A,1.33E+05,9.04E+04,1.47E+00,19.59,24.9,1.57
R-120,Unknown,ergo,ergo-d9,N/A,7.01E+05,2.38E+05,2.95E+00,39.40,27.5,2.87
R-121,Unknown,ergo,ergo-d9,N/A,2.38E+05,1.01E+05,2.35E+00,31.33,28.3,2.21
R-122,Unknown,ergo,ergo-d9,N/A,2.16E+05,1.09E+05,1.99E+00,26.44,29.2,1.81
R-123,Unknown,ergo,ergo-d9,N/A,1.94E+05,7.96E+04,2.43E+00,32.42,28.3,2.29
R-124,Unknown,ergo,ergo-d9,N/A,1.25E+05,1.02E+05,1.22E+00,16.23,22.1,1.47
R-125,Unknown,ergo,ergo-d9,N/A,1.29E+05,9.13E+04,1.42E+00,18.83,25.1,1.50
R-126,Unknown,ergo,ergo-d9,N/A,1.59E+05,9.06E+04,1.75E+00,23.29,26.5,1.76
R-127,Unknown,ergo,ergo-d9,N/A,1.04E+05,6.45E+04,1.61E+00,21.39,29.0,1.48
R-128,Unknown,ergo,ergo-d9,N/A,1.25E+05,6.38E+04,1.96E+00,26.15,26.5,1.97
R-129,Unknown,ergo,ergo-d9,N/A,1.08E+05,5.84E+04,1.85E+00,24.58,28.1,1.75
R-130,Unknown,ergo,ergo-d9,N/A,1.03E+05,6.46E+04,1.59E+00,21.18,26.8,1.58
