Sample ,Plant #,Sample,Day,Sample ID,content (ng/mg),Notes,,,Root,,Average,,,,,,,SEM,,,,,,,,,,,,,,,,
S-6,6,Shoot,40,       +M +E,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-7,7,Shoot,40,       +M +E,1.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-8,8,Shoot,40,       +M +E,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-9,9,Shoot,40,       +M +E,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-10,10,Shoot,40,       +M +E,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-11,11,Shoot,40,       +M +E,1.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-12,12,Shoot,40,       +M +E,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-13,14,Shoot,50,       +M +E,1.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-14,15,Shoot,50,       +M +E,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-15,16,Shoot,50,       +M +E,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-16,17,Shoot,50,       +M +E,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-17,18,Shoot,50,       +M +E,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-18,19,Shoot,50,       +M +E,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-19,20,Shoot,50,       +M +E,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-20,21,Shoot,50,       +M +E,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-21,22,Shoot,50,       +M +E,1.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-22,23,Shoot,50,       +M +E,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-23,24,Shoot,50,       +M +E,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-24,25,Shoot,50,       +M +E,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-25,27,Shoot,60,       +M +E,1.15,60,       +M +E,1.15,,1.15,0.68,0.57,1.60,0.86,1.32,1.46,1.31,4.49,2.69,1.34,0.71,,,,,,,,,,,,,
S-26,28,Shoot,60,       +M +E,0.68,60,       +M +E,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,
S-27,29,Shoot,60,       +M +E,0.57,60,       +M +E,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,
S-28,30,Shoot,60,       +M +E,1.60,60,       +M +E,1.60,,,,,,,,,,,,,,,,,,,,,,,,,,
S-29,31,Shoot,60,       +M +E,0.86,60,       +M +E,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,
S-30,32,Shoot,60,       +M +E,1.32,60,       +M +E,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,
S-31,33,Shoot,60,       +M +E,1.46,60,       +M +E,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,
S-32,34,Shoot,60,       +M +E,1.31,60,       +M +E,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,
S-33,35,Shoot,60,       +M +E,4.49,60,       +M +E,4.49,,,,,,,,,,,,,,,,,,,,,,,,,,
S-34,36,Shoot,60,       +M +E,2.69,60,       +M +E,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,
S-35,37,Shoot,60,       +M +E,1.34,60,       +M +E,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,
S-36,38,Shoot,60,       +M +E,0.71,60,       +M +E,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,
S-37,1,Shoot,40,       -M +E,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-38,2,Shoot,40,       -M +E,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-39,3,Shoot,40,       -M +E,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-40,4,Shoot,40,       -M +E,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-41,5,Shoot,40,       -M +E,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-42,6,Shoot,40,       -M +E,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-43,7,Shoot,40,       -M +E,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-44,8,Shoot,40,       -M +E,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-45,9,Shoot,40,       -M +E,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-46,10,Shoot,40,       -M +E,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-47,11,Shoot,40,       -M +E,2.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-48,12,Shoot,40,       -M +E,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-49,14,Shoot,50,       -M +E,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-50,15,Shoot,50,       -M +E,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-51,16,Shoot,50,       -M +E,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-52,17,Shoot,50,       -M +E,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-53,18,Shoot,50,       -M +E,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-54,19,Shoot,50,       -M +E,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-55,20,Shoot,50,       -M +E,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-56,21,Shoot,50,       -M +E,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-57,22,Shoot,50,       -M +E,2.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-58,23,Shoot,50,       -M +E,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-59,24,Shoot,50,       -M +E,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-60,25,Shoot,50,       -M +E,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-61,27,Shoot,60,       -M +E,3.52,60,       -M +E,3.52,,3.52,3.83,3.32,2.28,2.14,1.74,1.14,1.26,1.90,3.72,2.45,1.82,,,,,,,,,,,,,
S-62,28,Shoot,60,       -M +E,3.83,60,       -M +E,3.83,,,,,,,,,,,,,,,,,,,,,,,,,,
S-63,29,Shoot,60,       -M +E,3.32,60,       -M +E,3.32,,,,,,,,,,,,,,,,,,,,,,,,,,
S-64,30,Shoot,60,       -M +E,2.28,60,       -M +E,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,
S-65,31,Shoot,60,       -M +E,2.14,60,       -M +E,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,
S-66,32,Shoot,60,       -M +E,1.74,60,       -M +E,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,
S-67,33,Shoot,60,       -M +E,1.14,60,       -M +E,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,
S-68,34,Shoot,60,       -M +E,1.26,60,       -M +E,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,
S-69,35,Shoot,60,       -M +E,1.90,60,       -M +E,1.90,,,,,,,,,,,,,,,,,,,,,,,,,,
S-70,36,Shoot,60,       -M +E,3.72,60,       -M +E,3.72,,,,,,,,,,,,,,,,,,,,,,,,,,
S-71,37,Shoot,60,       -M +E,2.45,60,       -M +E,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,
S-72,38,Shoot,60,       -M +E,1.82,60,       -M +E,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,
S-73,1,Shoot,40,       +M -E,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-74,2,Shoot,40,       +M -E,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-75,3,Shoot,40,       +M -E,1.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-76,4,Shoot,40,       +M -E,1.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-77,5,Shoot,40,       +M -E,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-78,6,Shoot,40,       +M -E,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-79,8,Shoot,40,       +M -E,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-80,9,Shoot,40,       +M -E,1.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-81,10,Shoot,40,       +M -E,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-82,11,Shoot,40,       +M -E,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-83,12,Shoot,40,       +M -E,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-84,1,Shoot,40,       -M -E,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-85,2,Shoot,40,       -M -E,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-86,3,Shoot,40,       -M -E,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-87,4,Shoot,40,       -M -E,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-88,5,Shoot,40,       -M -E,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-89,6,Shoot,40,       -M -E,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-90,7,Shoot,40,       -M -E,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-91,8,Shoot,40,       -M -E,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-92,9,Shoot,40,       -M -E,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-93,10,Shoot,40,       -M -E,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-94,11,Shoot,40,       -M -E,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-95,12,Shoot,40,       -M -E,0.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-96,14,Shoot,50,       -M -E,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-97,15,Shoot,50,       -M -E,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-98,16,Shoot,50,       -M -E,0.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-99,17,Shoot,50,       -M -E,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-100,18,Shoot,50,       -M -E,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-101,19,Shoot,50,       -M -E,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-102,20,Shoot,50,       -M -E,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-103,21,Shoot,50,       -M -E,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-104,22,Shoot,50,       -M -E,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-105,23,Shoot,50,       -M -E,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-106,24,Shoot,50,       -M -E,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-107,25,Shoot,50,       -M -E,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-108,27,Shoot,60,       -M -E,0.81,60,       -M -E,0.81,,0.81,0.76,0.63,0.79,0.66,0.57,0.58,0.55,0.45,0.46,0.57,0.64,,,,,,,,,,,,,
S-109,28,Shoot,60,       -M -E,0.76,60,       -M -E,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,
S-110,29,Shoot,60,       -M -E,0.63,60,       -M -E,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,
S-111,30,Shoot,60,       -M -E,0.79,60,       -M -E,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,
S-112,31,Shoot,60,       -M -E,0.66,60,       -M -E,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,
S-113,32,Shoot,60,       -M -E,0.57,60,       -M -E,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,
S-114,33,Shoot,60,       -M -E,0.58,60,       -M -E,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,
S-115,34,Shoot,60,       -M -E,0.55,60,       -M -E,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,
S-116,35,Shoot,60,       -M -E,0.45,60,       -M -E,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,
S-117,36,Shoot,60,       -M -E,0.46,60,       -M -E,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,
S-118,37,Shoot,60,       -M -E,0.57,60,       -M -E,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,
S-119,38,Shoot,60,       -M -E,0.64,60,       -M -E,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,
S-120,14,Shoot,50,       +M -E,0.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-121,15,Shoot,50,       +M -E,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-122,16,Shoot,50,       +M -E,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-123,17,Shoot,50,       +M -E,6.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-124,18,Shoot,50,       +M -E,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-125,19,Shoot,50,       +M -E,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-126,20,Shoot,50,       +M -E,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-127,21,Shoot,50,       +M -E,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-128,22,Shoot,50,       +M -E,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-129,23,Shoot,50,       +M -E,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-130,24,Shoot,50,       +M -E,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-131,25,Shoot,50,       +M -E,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S-133,27,Shoot,60,       +M -E,0.75,60,       +M -E,0.75,,0.75,0.53,0.67,1.05,0.68,0.78,0.78,1.15,0.59,0.63,0.58,0.73,,,,,,,,,,,,,
S-134,28,Shoot,60,       +M -E,0.53,60,       +M -E,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,
S-135,29,Shoot,60,       +M -E,0.67,60,       +M -E,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,
S-136,30,Shoot,60,       +M -E,1.05,60,       +M -E,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,
S-137,31,Shoot,60,       +M -E,0.68,60,       +M -E,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,
S-138,32,Shoot,60,       +M -E,0.78,60,       +M -E,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,
S-139,33,Shoot,60,       +M -E,0.78,60,       +M -E,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,
S-140,34,Shoot,60,       +M -E,1.15,60,       +M -E,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,
S-141,35,Shoot,60,       +M -E,0.59,60,       +M -E,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,
S-142,36,Shoot,60,       +M -E,0.63,60,       +M -E,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,
S-143,37,Shoot,60,       +M -E,0.58,60,       +M -E,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,
S-144,38,Shoot,60,       +M -E,0.73,60,       +M -E,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,
,synthetic soil (blank),,,,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,synthetic soil (blank repeat),,,,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
